,restart_pos,Car # Inside,Car # Outside,Position after Sort,,Gain/Loss,
130,3.0,11,48,3.0,20.0,0.0,1.0
131,4.0,12,77,7.0,18.0,-3.0,6.0
132,5.0,19,42,4.0,22.0,1.0,3.0
133,6.0,9,1,6.0,24.0,0.0,3.0
134,7.0,3,31,8.0,27.0,-1.0,2.0
135,8.0,22,15,9.0,32.0,-1.0,-1.0
136,9.0,43,23,13.0,37.0,-4.0,-4.0
137,10.0,14,,5.0,,5.0,
138,11.0,7,,16.0,,-5.0,
139,12.0,10,,14.0,,-2.0,
140,13.0,6,,15.0,,-2.0,
141,14.0,8,,10.0,,4.0,
142,15.0,99,,21.0,,-6.0,
143,16.0,4,,12.0,,4.0,
144,17.0,16,,28.0,,-10.0,
145,18.0,38,,17.0,,3.0,
146,19.0,24,,23.0,,-1.0,
147,20.0,41,,26.0,,-3.0,
148,21.0,47,,30.0,,-4.0,
149,22.0,2,,25.0,,3.0,
150,23.0,34,,29.0,,1.0,
151,24.0,51,,31.0,,1.0,
152,25.0,20,,33.0,,1.0,
153,26.0,71,,36.0,,0.0,
