,car_number,stage,post_choose
0,11,1,8.095238095238095
1,11,2,6.648648648648648
2,11,3,9.157894736842104
3,19,1,8.333333333333334
4,19,2,10.470588235294118
5,19,3,11.675
6,20,1,10.666666666666666
7,20,2,12.27027027027027
8,20,3,12.147058823529411
9,23,1,12.571428571428571
10,23,2,13.875
11,23,3,12.906976744186046
12,45,1,10.0
13,45,2,9.282051282051283
14,45,3,10.642857142857142
15,54,1,17.45
16,54,2,15.210526315789474
17,54,3,13.516129032258064
