Restart 0,,,,,,,,,,
Lap #: 1,,,,,,,,,,
Sort Lap: 3,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
7,24,,21,22,,22,21,,-1,1
,,,,,,,,,,
43,3,,23,24,,23,24,,0,0
,,,,,,,,,,
19,77,,25,26,,25,26,,0,0
,,,,,,,,,,
15,47,,30,27,,30,27,,0,0
,,,,,,,,,,
31,16,,32,28,,32,28,,0,0
,,,,,,,,,,
48,21,,34,29,,34,29,,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Restart 5,,,,,,,,,,
Lap #: 285,,,,,,,,,,
Sort Lap: 287,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
12,11,,1,2,,1,2,,0,0
,,,,,,,,,,
22,2,,3,4,,3,4,,0,0
,,,,,,,,,,
23,5,,5,6,,5,6,,0,0
,,,,,,,,,,
45,41,,7,8,,7,8,,0,0
,,,,,,,,,,
10,20,,9,10,,9,10,,0,0
,,,,,,,,,,
4,14,,11,12,,11,12,,0,0
,,,,,,,,,,
17,9,,13,14,,13,15,,0,-1
,,,,,,,,,,
38,24,,15,16,,14,16,,1,0
,,,,,,,,,,
1,3,,17,18,,17,18,,0,0
,,,,,,,,,,
7,19,,19,20,,19,20,,0,0
,,,,,,,,,,
43,34,,21,22,,21,22,,0,0
,,,,,,,,,,
77,47,,24,23,,24,23,,0,0
,,,,,,,,,,
54,6,,25,26,,25,26,,0,0
,,,,,,,,,,
16,8,,27,29,,27,29,,0,0
,,,,,,,,,,
21,51,,28,30,,28,30,,0,0
,,,,,,,,,,
31,48,,31,32,,31,32,,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Restart 6,,,,,,,,,,
Lap #: 311,,,,,,,,,,
Sort Lap: 313,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
12,11,,1,2,,1,3,,0,-1
,,,,,,,,,,
23,22,,4,3,,2,5,,2,-2
,,,,,,,,,,
2,45,,6,5,,4,7,,2,-2
,,,,,,,,,,
10,20,,8,7,,6,8,,2,-1
,,,,,,,,,,
41,4,,10,9,,9,10,,1,-1
,,,,,,,,,,
17,14,,12,11,,11,12,,1,-1
,,,,,,,,,,
38,1,,14,13,,13,15,,1,-2
,,,,,,,,,,
24,19,,15,16,,14,16,,1,0
,,,,,,,,,,
34,9,,18,17,,17,18,,1,-1
,,,,,,,,,,
3,5,,20,19,,19,20,,1,-1
,,,,,,,,,,
47,7,,22,21,,21,22,,1,-1
,,,,,,,,,,
43,21,,23,25,,23,25,,0,0
,,,,,,,,,,
54,8,,24,26,,24,26,,0,0
,,,,,,,,,,
16,77,,28,27,,28,27,,0,0
,,,,,,,,,,
31,48,,29,32,,29,32,,0,0
,,,,,,,,,,
,,,,,,,,,,
Restart 7,,,,,,,,,,
Lap #: 333,,,,,,,,,,
Sort Lap: 335,,,,,,,,,,
Car # Inside,Car # Outside,,Pre-Choose Position,Pre-Choose Position,,Post-Sort Position,Post-Sort Position,,Gain/Loss,Gain/Loss
,,,,,,,,,,
9,7,,1,2,,2,1,,-1,1
,,,,,,,,,,
43,10,,3,4,,3,4,,0,0
,,,,,,,,,,
34,5,,6,5,,6,5,,0,0
,,,,,,,,,,
14,17,,8,7,,8,7,,0,0
,,,,,,,,,,
47,38,,10,9,,9,9,,1,0
,,,,,,,,,,
23,11,,12,11,,12,11,,0,0
,,,,,,,,,,
12,20,,14,13,,13,14,,1,-1
,,,,,,,,,,
2,41,,16,15,,16,15,,0,0
,,,,,,,,,,
22,4,,18,17,,17,18,,1,-1
,,,,,,,,,,
45,21,,20,19,,20,19,,0,0
,,,,,,,,,,
24,1,,22,21,,22,21,,0,0
,,,,,,,,,,
54,19,,23,24,,24,23,,-1,1
,,,,,,,,,,
3,77,,25,26,,25,26,,0,0
,,,,,,,,,,
16,8,,27,28,,28,27,,-1,1
,,,,,,,,,,
51,31,,30,29,,30,29,,0,0
